Licence No.,Premises Name,Premises Address,場所名稱,場所地址,Premises Phone No.,Premises Fax No.,Premises Email Address
H/4404,QIAN YUE GUEST HOUSE,"Flat F, 3/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",千悅賓館,九龍佐敦佐敦道15號華豐大廈3字樓F室,9737 4828,3107 9123,571813152@qq.com
H/4405,KLN ASIA TRAVEL HOUSE,"Flat 2, 9/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",九龍亞洲旅館,九龍油麻地彌敦道385號平安大樓9字樓2室,2770 8300,,asiatravelhouse@netvigator.com
H/4406,UNIQUE HOSTEL,"Flat E4&E6, 9/F, Block E, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",UNIQUE HOSTEL,九龍尖沙咀彌敦道40號重慶大廈E座9字樓E4&E6室,2154 1173,,uniquehostelhk@gmail.com
H/4407,WITH THE STAR,"G/F-11/F, Fu Tat Commercial Building,137 & 139 Wan Chai Road,Wan Chai, Hong Kong.",WITH THE STAR,香港灣仔灣仔道137 & 139號富達樓地下-11字樓,2838 1109,2838 2252,info@mingleplace.com
H/4409,FORTUNE INN,"Flat 14, 5/F, Wing Wah Building,14-24 Sai Yeung Choi Street South,Mong Kok, Kowloon.",富美賓館,九龍旺角西洋菜南街14-24號榮華大樓5字樓14室,6999 6330,,fortunehotelmongkok@gmail.com
H/4410,ICLUB WAN CHAI HOTEL,"16/F-23/F & 25/F-26/F,211 Johnston Road,Wan Chai, Hong Kong.",富薈灣仔酒店,香港灣仔莊士敦道211號  16-23&25-26字樓,3963 6000,3963 6022,info@wanchai.iclub-hotels.com
H/4413,THE LOOP,"Flat 1410, 14/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",THE LOOP,九龍旺角亞皆老街83號先施大廈14字樓1410室,5950 9821,,
H/4415,DREAMNEST GUESTHOUSE,"Flat B1 & B2, 10/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",DREAMNEST GUESTHOUSE,九龍尖沙咀彌敦道40號重慶大廈B座10字樓B1&B2室,6329 0067,,
H/4418,TSIM SHA TSUI GUEST HOUSE,"Flat D, 14/F, Harilela Mansion,81 Nathan Road, Tsim Sha Tsui, Kowloon.",國際廣場(尖沙咀)賓館,九龍尖沙咀彌敦道81號喜利大廈14字樓D室,6393 5343,,hunghotel66@gmail.com
H/4419,THE GREAT WALL GUEST HOUSE,"Flat D3, Block D,7/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",長城旅館,九龍尖沙咀彌敦道58號美麗都大廈D座7字樓D3室,2722 7966,2312 0252,
H/4421,THE NIGHT,"Flat L, 4/F, Phoenix Apartments,70 Lee Garden Road,Causeway Bay, Hong Kong.",暮舍,香港銅鑼灣利園山道70號鳳鳴大廈4字樓L室,2577 5513,,
H/4422,PRIME TRAVEL,"Flat 1303, 13/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",嘉盛旅遊,九龍旺角亞皆老街83號先施大廈13字樓1303室,5118 0796,,whz1143442072@gmail.com
H/4423,FEI HUNG INN,"Flat 2301, 23/F, Sun Hing Building,607 Nathan Road,Mong Kok, Kowloon.",飛鴻賓館,九龍旺角彌敦道607號新興大廈23字樓2301室,2626 0698,,feihunghotel@gmail.com
H/4425,WING MING GUEST HOUSE,"Flat B5, Block B,16/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",永明旅館,九龍尖沙咀彌敦道58號美麗都大廈B座16字樓B5室,2366 5630,2368 5835,
H/4429,ANGEL GUEST HOUSE,"Flat E4 & E6, 4/F, Block E, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",ANGEL GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈E座4字樓E4&E6室,9232 3231,3743 5893,shweta_sahai@yahoo.com
H/4430,OI SUEN GUEST HOUSE,"Flat 814, 8/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",靄旋賓館,九龍旺角亞皆老街83號先施大廈8字樓814室,2398 0636,,oisuen814@gmail.com
H/4431,HOTEL ICON LIMITED,"17 Science Museum Road,Tsim Sha Tsui, Kowloon.",唯港薈有限公司,九龍尖沙咀科學館道17號,3400 1000,3400 1487,
H/4435,K G GARDEN GUEST HOUSE,"Flat A9, 3/F, Block A, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",百利賓館,九龍尖沙咀彌敦道58號美麗都大廈A座3字樓A9室,2882 7777,2723 8233,lilygardenguesthouse@ymail.com
H/4436,D RED LOFT,"Flat A6, Block A,15/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",D RED LOFT,九龍尖沙咀彌敦道40號重慶大廈A座15字樓A6室,9747 9012,,georgepannu18@yahoo.com
H/4439,NAGALAND GUEST HOUSE,"Flat D4, 17/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",NAGALAND GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座17字樓D4室,9732 4041,,chhetridhana@ymail.com
H/4440,HOTEL PRAVO,"3/F-11/F, Bo Yip Building,10 Peking Road, Tsim Sha Tsui, Kowloon.",HOTEL PRAVO,九龍尖沙咀北京道10號寶業大廈3-11字樓,3188 7888,3188 7899,gm@hotelpravo.com.hk
H/4443,PRINCE HOSTEL HOLDINGS LIMITED,"Flat F, 7/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",太子賓館集團有限公司,九龍旺角彌敦道739號金輪大廈7字樓F室,2391 8852,,prince_hotel@yahoo.com
H/4448,JIN XIANG HOSTEL,"Flat 12A, 6/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",金翔賓館,九龍油麻地彌敦道385號平安大樓6字樓12A室,5390 2761,,2421180215@qq.com
H/4450,SIENG PHONG COMMERCIAL GUEST HOUSE,"Flat 1516, 15/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",先鋒商務旅舍,九龍旺角亞皆老街83號先施大廈15字樓1516室     ,2396 5101,,
H/4453,NEW MONG KOK HOUSE,"Flat 16A, 7/F, Wing Wah Building,14-24 Sai Yeung Choi Street South,Mong Kok, Kowloon.",新旺角賓館,九龍旺角西洋菜南街14-24號榮華大樓7字樓16A室,2332 1431,,missfungmk@gmail.com
H/4455,環球別墅,"Flat B, 1/F, Block A, Wah Shing Building,207-211 Sha Tsui Road,Tsuen Wan, New Territories.",環球別墅,新界荃灣沙咀道207-211號華成樓A座1字樓B室,3755 4599,,
H/4456,GALAXY GUESTHOUSE,"Flat 5, 12/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",銀河賓館,九龍油麻地彌敦道385號平安大樓12字樓5室,2771 0569,,
H/4457,DAYS HOSTEL,"Flat D6, 10/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",DAYS HOSTEL,九龍尖沙咀彌敦道40號重慶大廈D座10字樓D6室,3104 1651,2368 3344,dhillonhotelshk@gmail.com
H/4459,JOYFUL GUEST HOUSE,"Flat F1, 6/F, Block F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",歡樂頌,九龍尖沙咀彌敦道58號美麗都大廈F座6字樓F1室,,,joyfulguestmm@gmail.com
H/4461,LANDER INN,"1/F-2/F,156-158 Tai Nan Street, Sham Shui Po, Kowloon.",泛達太子軒,九龍深水埗大南街156-158號1-2字樓 ,2393 2289,2393 2839,
H/4462,FUJIAN GUEST HOUSE,"Flat A1, 15/F, Block A, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",福建旅館,九龍尖沙咀彌敦道58號美麗都大廈A座15字樓A1室,2368 9936,2778 1776,
H/4463,THE MERCER,"29 Jervois Street,Central, Hong Kong.",THE MERCER,香港中環蘇杭街29號,2922 9988,2922 9989,info@themercer.com.hk
H/4464,NEW CITYGATE HOSTEL,"Flat 1505, 15/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",新東薈賓館,九龍旺角彌敦道607號新興大廈15字樓1505室,6137 3041,,newhk1512@gmail.com
H/4467,忠誠賓館,"Flat F, 15/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",忠誠賓館,九龍旺角彌敦道739號金輪大廈15字樓F室,2393 5553,,2516949682@qq.com
H/4470,NEW TOKYO HOSTEL,"Flat D8, 16/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",NEW TOKYO HOSTEL,九龍尖沙咀彌敦道40號重慶大廈D座16字樓D8室,2721 2900,2111 4508,sandhuhotelhk@gmail.com
H/4475,COSMOS HOSTEL,"Flat 1217, 12/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",宇宙賓館,九龍旺角彌敦道607號新興大廈12字樓1217室,9758 5087,,
H/4479,BRIGHTON HOTEL HONG KONG,"3/F, 6/F-12/F, 15/F-23/F, 25/F-27/F,126-128 Lockhart Road,Wan Chai, Hong Kong.",麗駿酒店,"香港灣仔駱克道126-128號3字樓,6-12字樓, 15-23字樓, 25-27字樓",3793 7700,,rickypao@brightonhotel.com.hk
H/4480,BEST WESTERN HOTEL,"38 Bowrington Road,Wan Chai, Hong Kong.",華麗銅鑼灣酒店,香港灣仔寶靈頓道38號,2496 6666,2836 6162,hotel@bestwesternhotelhongkong.com
H/4482,東南亞賓館,"Flat D1 & D2, Block D,  5/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",東南亞賓館,九龍尖沙咀彌敦道40號 重慶大廈D座5字樓D1&D2室,3599 5522,,
H/4484,CITY BREAK INN,"Flat 1, 6/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",自由行賓館,九龍油麻地彌敦道385號平安大樓6字樓1室,2343 7448,3909 3729,
H/4486,SOLAR VILLAS,"No.6, 1/F-2/F & No.6A, 1/F-2/F,6&6A Tai Yuk Road,Ma Wan, New Territories.",太陽村莊,新界馬灣體育路6號&6A號6號1-2字樓&6A號1-2字樓,8201 1122,2907 1107,info@solarvillas.com.hk
H/4491,HOMY INN,"Flat B, 7/F, Union Mansion,33-35 Chatham Road South,Tsim Sha Tsui, Kowloon.",HOMY INN,九龍尖沙咀漆咸道南33-35號友聯大廈7字樓B室,9748 3598,3743 5893,shweta_sahai@yahoo.com
H/4494,FLORIDA HOTEL,"4/F, Luen Hing Building,86-88 Sai Yeung Choi Street South,Mong Kok, Kowloon.",彿羅里達賓館,九龍旺角西洋菜南街86-88號聯興大廈4字樓,,,
H/4501,AIRY STAY ON CARNARVON,"Flat 4(Portion) & 5-6, 9/F,James S Lee Mansion,33 Carnarvon Road,Tsim Sha Tsui, Kowloon.",AIRY STAY ON CARNARVON,九龍尖沙咀加拿分道33號發利大廈9字樓4(部分)及5-6室,,,airystayhk@gmail.com
H/4502,HANKOW GUESTHOUSE,"Flat A1, 4/F, Block ATsim Sha Tsui Mansion, 87 Nathan Road,Tsim Sha Tsui, Kowloon.",漢口賓館,九龍尖沙咀彌敦道87號華源大廈A座4字樓A1室,2368 3886,,famouscityhotel@gmail.com
H/4503,霍士別墅,"Flat B, 3/F, Block A, Wah Shing Building,207-211 Sha Tsui Road,Tsuen Wan, New Territories.",霍士別墅,新界荃灣沙咀道207-211號華成樓A座3字樓B室,3755 4599,,
H/4504,CONCORD HOTEL,"18 Davis Street,Kennedy Town, Hong Kong.",嘉融酒店,香港堅尼地城爹核士街18號,2655 5526,2655 5555,hm@concord-hotel.com
H/4507,APPLE INN,"Flat A&B, 1/F, Phoenix Apartments,70 Lee Garden Road, Causeway Bay,Hong Kong.",蘋果旅館,香港銅鑼灣利園山道70號鳳鳴大廈1字樓A&B室,3462 3333,3157 7422,info@apple-inn.com
H/4510,THE COMFORT LIVING INN,"Flat A, 1/F, The Sorentino,483 Shun Ning Road,Sham Shui Po, Kowloon. ",泰好住,九龍深水埗順寧道483號順景華庭1字樓A室,2742 0111,2453 3081,comfortlive@yahoo.com.hk
H/4513,YUE KA GUESTHOUSE,"Flat A, 2/F, King Hing Building,52-54 Argyle Street,Mong Kok, Kowloon.",中港裕家賓館,九龍旺角亞皆老街52-54號建興大廈2字樓A室,,,
H/4517,HIVE IN HOSTEL,"Flat 3, 5/F, Alhambra Building,385 Nathan Road, Yau Ma Tei,Kowloon.",蜂巢旅館,九龍油麻地彌敦道385號平安大樓5字樓3室,2780 8168,2332 9856,wshguesthouse@gmail.com
H/4520,AIRY STAY ON COMFORT BUILDING,"Flat A, 11/F, Comfort Building,88 Nathan Road, Tsim Sha Tsui,Kowloon.",AIRY STAY ON COMFORT BUILDING,九龍尖沙咀彌敦道88號安樂大廈11字樓A室,,,airystayhk@gmail.com
H/4521,AIRY STAY ON CARNARVON,"Flat 1-2 & Flat 3(Portion), 9/F, James S Lee Mansion, 33 Carnarvon Road,Tsim Sha Tsui, Kowloon.",AIRY STAY ON CARNARVON,九龍尖沙咀加拿分道33號發利大廈9字樓1-2&3室(部分),,,airystayhk@gmail.com
H/4524,UNITED CO-OPERATE GUEST HOUSE,"Flat B3, 5/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",滙展賓館,九龍尖沙咀彌敦道40號重慶大廈B座5字樓B3室,6288 1666,,uihotel@gmail.com
H/4525,SPRING GUEST HOUSE,"Flat C, 5/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",永春賓館,九龍佐敦佐敦道15號華豐大廈5字樓C室,9643 5165,,
H/4526,EVER EASY HOSTEL,"Flat 1704, 17/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",恒易旅館,九龍旺角彌敦道607號新興大廈17字樓1704室,6080 8230,,easyloginlogin@gmail.com
H/4527,DIPTY GUESTHOUSE,"Flat D6, 9/F, Block D,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",DIPTY GUESTHOUSE,九龍尖沙咀彌敦道40號重慶大廈D座9字樓D6室,6288 1666,,uihotel@gmail.com
H/4528,ESPACE ELASTIQUE,"1/F, 57 Kat Hing Street,Tai O, Lantau Island.",歸田園居,大嶼山大澳吉慶街57號1字樓,2985 7002,2985 7002,info@espaceelastique.com.hk
H/4529,APPLE INN,"Flat C, 1/F, Phoenix Apartments,70 Lee Garden Road,Causeway Bay, Hong Kong.",蘋果旅館,香港銅鑼灣利園山道70號鳳鳴大廈1字樓C室,3462 3333,3157 7422,info@apple-inn.hk
H/4530,THE JERVOIS,"G/F - UR/F, 89 Jervois Street,Sheung Wan, Hong Kong.",THE JERVOIS,香港上環蘇杭街89號地下 - 天台高層,3994 9000,3994 9090,info@thejervois.com
H/4531,B & B PAK TAI TEMPLE HOLIDAY FLAT,"G/F, 2H Pak She Street,Cheung Chau.",住得好長洲北帝廟渡假屋,長洲北社街2H號地下,2986 9990,2986 9980,info@ibnb.com.hk
H/4534,MANILA LOUNGE,"Flat A4, 16/F, Block A,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",MANILA LOUNGE,九龍尖沙咀彌敦道40號重慶大廈A座16字樓A4室,2311 2170,,ashokahotel001@gmail.com
H/4535,FU YUNG MOTEL,"Flat G, 3/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",芙蓉賓館,九龍旺角彌敦道739號金輪大廈3字樓G室,6330 6953,,
H/4536,B & B PAK TAI TEMPLE HOLIDAY FLAT,"G/F, 2J Pak She Street,Cheung Chau.",住得好長洲北帝廟渡假屋,長洲北社街2J號地下,2986 9990,2986 9980,info@ibnb.com.hk
H/4537,MIA CASA HOTEL,"G/F - R/F, 2 Hau Wo Street,Kennedy Town, Hong Kong.",星豪酒店,香港堅尼地城厚和街2號地下-天台,3752 2988,3752 2977,reservation@miacasa.com.hk
H/4540,LANDER INN,"6/F-7/F, 156-158 Tai Nan Street,Sham Shui Po, Kowloon.",泛達太子軒,九龍深水埗大南街156-158號6字樓-7字樓,2393 2289,2393 2839,
H/4541,NEW HOLLYWOOD INN,"3/F, Kwan Tak Building,245 Sha Tsui Road, Tsuen Wan,New Territories.",新荷里活別墅,新界荃灣沙咀道245號坤德樓3字樓,3755 4488,,
H/4545,SUNDAY INN,"Flat N, 6/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",晴天賓館,九龍佐敦佐敦道15號華豐大廈6字樓N室,3188 5568,,
H/4546,忠誠賓館,"Flat A, 15/F, Kingland Apartments,739 Nathan Road,Mong Kok, Kowloon.",忠誠賓館,九龍旺角彌敦道739號金輪大廈15字樓A室,2393 5553,,2516949682@qq.com
H/4548,華納別墅,"Flat B, 2/F, Block A, Wah Shing Building,207-211 Sha Tsui Road,Tsuen Wan, New Territories.",華納別墅,新界荃灣沙咀道207-211號華成樓A座2字樓B室,3755 4599,,
H/4549,EVEREST GUEST HOUSE,"Flat 5-6, 3/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",EVEREST GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座3字樓5-6室,2153 1197,2722 4807,14everesthostel@gmail.com
H/4552,H1 HOTEL,"G/F - 15/F, 423 Reclamation Street,Mong Kok, Kowloon.",逸豪酒店,九龍旺角新填地街423號地下-15字樓,2380 6830,,
H/4556,SEA VIEW RESORT,"G/F, Sea View Houses,2 Chung Hok Road,Cheung Chau.",海景渡假屋,長洲中學路2號海景樓地下,9271 5501,2512 2493,
H/4557,UNION CREATE GUESTHOUSE,"Flat D, 11/F, Kingland Apartments,739 Nathan Road,Mong Kok, Kowloon.",聯豐賓館,九龍旺角彌敦道739號金輪大廈11字樓D室,2398 1778,2391 5399,vvzhu2388@gmail.com
H/4558,THE HENRY,"G/F (Portion), 1/F, 2/F(Portion), 3/F - 23/F,322 Des Voeux Road West, Hong Kong.",THE HENRY,"香港德輔道西322號地下(部份)及1-2字樓(部份), 3-23字樓",3120 1000,,
H/4559,ZODIAC LODGE,"Flat E6, Block E,12/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",ZODIAC LODGE,九龍尖沙咀彌敦道40號重慶大廈E座12字樓E6室,9186 2765,,mps009@hotmail.com
H/4560,CYNTHIA'S INN LIMITED,"Flat E5, 10/F, Block E, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新逸雅賓館有限公司,九龍尖沙咀彌敦道40號重慶大廈E座10字樓E5室,9232 3231,3743 5893,shweta_sahai@yahoo.com
H/4563,BUDGET HOSTEL HONG KONG,"Flat 3, 10/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",BUDGET HOSTEL HONG KONG,九龍尖沙咀彌敦道40號重慶大廈D座10字樓3室,3104 1652,2368 3344,dhillonhotelshk@gmail.com
H/4565,PAY-LESS GUEST HOUSE,"Flat 4, 6/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",百利賓館,九龍尖沙咀彌敦道40號重慶大廈A座6字樓4室,6952 4792,,ken010101@hotmail.com
H/4568,HOM MAN GUEST HOUSE,"Flat B&C, 3/F, Hung Fook Building,7 Kik Yeung Road,Yuen Long, New Territories.",漢民客棧,新界元朗擊壤路7號鴻福樓3字樓B及C室,2475 7528,2882 1709,wellentlic@gmail.com
H/4569,E DRAGON GUEST HOUSE,"Flat A1, 11/F, National Court,242 Nathan Road, Jordan, Kowloon.",一龍賓館,九龍佐敦彌敦道242號立信大廈11字樓A1室,9383 5986,,ping8hky@gmail.com
H/4570,VP APARTMENTS,"1/F-2/F, 149 Lai Chi Kok Road,Sham Shui Po, Kowloon.",雲浦居,九龍深水埗茘枝角道149號1-2字樓,3628 0888,2714 2767,enquiry_vphotel@venkin-group.com
H/4571,RELIANCE INN,"Flat 7, Block B,13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",萊斯賓館,九龍尖沙咀彌敦道40號重慶大廈B座13字樓7室,,,
H/4572,NAM KEUNG TOURING TRADING LIMITED,"Flat B, 10/F, Harilela Mansion,81 Nathan Road, Tsim Sha Tsui,Kowloon.",南強旅業貿易有限公司,九龍尖沙咀彌敦道81號喜利大廈10字樓B室  ,2369 0691,,
H/4573,LOK KUN VILLA,"Block P, 1/F, Kwan Tak Building,19 Hong Lok Road, Yuen Long,New Territories.",樂宮別墅,新界元朗康樂路19號鈞德樓1字樓P座,2669 2998,,
H/4575,紅葉賓館,"Flat A, 3/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",紅葉賓館,九龍旺角彌敦道739號金輪大廈3字樓A室,2398 7287,,
H/4576,忠誠賓館,"Flat E, 8/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",忠誠賓館,九龍旺角彌敦道739號金輪大廈8字樓E室,2393 5553,,2516949682@qq.com
H/4578,SLEEPLICITY,"Flat E, 6/F, Harilela Mansion,81 Nathan Road, Tsim Sha Tsui, Kowloon.",簡休旅,九龍尖沙咀彌敦道81號喜利大廈6字樓E室,6031 8119,,greatest.timehk@gmail.com
H/4579,MADERA HONG KONG,"G/F-29/F, Roof, Upper Roof & Top Roof,1 Cheong Lok Street,Jordan, Kowloon.",MADERA HONG KONG,"九龍佐敦長樂街1號地下-29字樓, 天台, 高層天台&頂層天台",2121 9888,,
H/4581,ME EASY HOSTEL,"Flat 1207, 12/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon",米易商務賓館,九龍旺角彌敦道607號新興大廈12字樓1207室,3573 8369,,
H/4583,永興行賓館,"Flat 10, 5/F, Alhambra Building,385 Nathan Road,Yau Ma Tei, Kowloon.",永興行賓館,九龍油麻地彌敦道385號平安大樓5字樓10室,2780 8168,2332 9856,
H/4585,NAM KEUNG TOURING TRADING LTD,"Room A, 10/F, Harilela Mansion,81 Nathan Road, Tsim Sha Tsui, Kowloon.",南強旅業貿易有限公司,九龍尖沙咀彌敦道81號喜利大廈10字樓A室,2369 0691,,
H/4590,GOLD KEEP HOSTEL,"Flat 1201, 12/F, Sincere House,83 Argyle Street, Mong Kok,Kowloon.",金庫賓館,九龍旺角亞皆老街83號先施大廈12字樓1201室,,,
H/4591,MINI HOTEL,"G/F-20/F, Capital Building,6-10 Sun Wui Road,Causeway Bay, Hong Kong.",MINI HOTEL,香港銅鑼灣新會道6-10號京城大廈地下-20字樓,3979 1199,3427 9490,dorischan@minihotel.hk
H/4593,WIDE EASY HOSTEL,"Room 1416, 14/F, Sun Hing Building,607 Nathan Road,Mongkok, Kowloon.",廣易賓館,九龍旺角彌敦道607號新興大廈14字樓1416室,6080 8230,,
H/4595,AMU DREAMHOUSE,"Flat A, B, C, 1/F, Windsor Mansion,29-31 Chatham Road South,Tsim Sha Tsui, Kowloon.",阿木旅舍,"九龍尖沙咀漆咸道南29-31號溫莎大廈1字樓A,B,C室",9528 7232,,yuensuklimited@hotmail.com
H/4596,TAI HAO HOSTEL,"Flat 16, 5/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",泰豪賓館,九龍旺角亞皆老街83號先施大廈5字樓16室,,,
H/4598,NARLI GUEST HOUSE,"Flat 6, 14/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",NARLI GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座14字樓6號室,2721 2900,2111 4508,sandhuhotelhk@gmail.com
H/4599,KOWLOON T.S.T. GUEST HOUSE,"Flat B7&C1, 11/F, Block B & C, Chungking Mansion, 40 Nathan Road,Tsim Sha Tsui, Kowloon.",九龍尖沙咀賓館,九龍尖沙咀彌敦道40號重慶大廈B&C座11字樓B7&C1室,6288 1666,,uihotel@gmail.com
H/4604,EURO HOSTEL,"Flat 6, 17/F,  Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",EURO HOSTEL,九龍尖沙咀彌敦道40號重慶大廈D座17字樓6室,2721 2900,2111 4508,sandhuhotelhk@gmail.com
H/4606,MICRO,"Flat 9, 5/F, Alhambra Building,385 Nathan Road, Yau Ma Tei, Kowloon.",MICRO,九龍油麻地彌敦道385號平安大樓5字樓9室,9807 1471,,
H/4609,MARRIGOLD HOSTEL,"Flat D8, 11/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",MARRIGOLD HOSTEL,九龍尖沙咀彌敦道40號重慶大廈11字樓D座D8室,,,mabuhayhotel2013@gmail.com
H/4611,NATHAN RESIDENCES,"10/F-16/F, On Yuen Building,483-485A Nathan Road,Yau Ma Tei, Kowloon.",NATHAN RESIDENCES,九龍油麻地彌敦道483-485A號安遠大廈10-16字樓,3896 5303,3102 9080,info@nathanresidenceshk.com
H/4612,SOLAR VILLAS,"G/F-1/F, House 5,Tai Yuk Road, Ma Wan,New Territories.",太陽村莊,新界馬灣體育路5號屋地下及1字樓,8201 1122,2907 1107,info@solarvillas.com.hk
H/4613,OCEAN CITY HOSTEL,"6/F, Yan Hong Mansion,47 Fa Yuen Street,Mongkok, Kowloon.",海城賓館,九龍旺角花園街47號仁康大廈6字樓,,,
H/4615,NATHAN RESIDENCES,"5/F-9/F, On Yuen Building,483-485A Nathan Road,Yau Ma Tei, Kowloon",NATHAN RESIDENCES,九龍油麻地彌敦道483-485A號安遠大廈5-9字樓,3896 5303,3102 9080,info@nathanresidenceshk.com
H/4616,TAI O HERITAGE HOTEL,"Old Tai O Police Station,Shek Tsai Po Street, Tai O,Lantau Island.",大澳文物酒店,大嶼山大澳石仔街舊大澳警署,2985 8383,2985 8881,info@taioheritagehotel.com
H/4617,SOLAR VILLAS,"G/F-2/F, House 7D,Tai Yuk Road, Ma Wan,New Territories.",太陽村莊,新界馬灣體育路7號D屋地下至2字樓,8201 1122,2907 1107,info@solarvillas.com.hk
H/4618,EUROPEAN HOSTEL,"Flat 8, 14/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",EUROPEAN HOSTEL,九龍尖沙咀彌敦道40號重慶大廈D座14字樓8室,2721 2900,2111 4508,sandhuhotelhk@gmail.com
H/4622,SOLAR VILLAS,"G/F-2/F, House 7A,Tai Yuk Road, Ma Wan,New Territories.",太陽村莊,新界馬灣體育路7號A屋地下至2字樓,8201 1122,2907 1107,info@solarvillas.com.hk
H/4625,TWENTY ONE WHITFIELD,"G/F(Portion), 1/F-UR/F,21 Whitfield Road, North Point, Hong Kong.",TWENTY ONE WHITFIELD,"香港北角威非路道21號地下(部份),1字樓至天台高層",3994 8585,3994 8500,rs@21whitfieldseaview.com
H/4627,SOLAR VILLAS,"1F, House 8 & 1/F-2/F, House 9,Tai Yuk Road, Ma Wan,New Territories.",太陽村莊,新界馬灣體育路8號屋1字樓 & 9號屋1-2字樓,8201 1122,2907 1107,info@solarvillas.com.hk
H/4628,NINA HOTEL KOWLOON EAST,"G/F-Upper Roof, Nina Hotel Kowloon East,38 Chong Yip Street,Kwun Tong, Kowloon.",九龍東如心酒店,九龍觀塘創業街38號九龍東如心酒店地下至天台高層,3968 8666,3968 8200,info.ke@ninahotelgroup.com
H/4634,TAI HAO HOSTEL,"Flat 1417, 14/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",泰豪賓館,九龍旺角亞皆老街83號先施大廈14字樓1417室,6688 5686,,
H/4640,INNSIGHT,"3/F, 9 Lock Road, Tsim Sha Tsui,Kowloon.",悠悠客舍,九龍尖沙咀樂道9號3字樓,5909 3278,,innsight.info@gmail.com
H/4641,STRAWBERRY GUEST HOUSE,"Flat 7, 12/F, Block D, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",士多啤梨賓館,九龍尖沙咀彌敦道40號重慶大廈D座12字樓7室,9142 4288,,strawberryguesthouse@gmail.com
